timestamp,location,cpe,device_id,data
1489347672.95,tokyo,raspi001,A1324LUA-T,4
1489347734.64,tokyo,raspi001,A1324LUA-T,89
1489347796.35,tokyo,raspi001,A1324LUA-T,91
1489347858.06,tokyo,raspi001,A1324LUA-T,37
1489347919.77,tokyo,raspi001,A1324LUA-T,0
1489347981.46,tokyo,raspi001,A1324LUA-T,0
1489348043.16,tokyo,raspi001,A1324LUA-T,26
1489348104.85,tokyo,raspi001,A1324LUA-T,92
1489348166.56,tokyo,raspi001,A1324LUA-T,97
1489348228.25,tokyo,raspi001,A1324LUA-T,95
1489348289.95,tokyo,raspi001,A1324LUA-T,12
1489348351.64,tokyo,raspi001,A1324LUA-T,0
1489348413.35,tokyo,raspi001,A1324LUA-T,0
1489348783.52,tokyo,raspi001,A1324LUA-T,0
